"TIME IN SECS","UPWARD","DOWNWARD","LATERAL"
"5","1.31428571429","1.62857142857","2.71428571429"
"6","2.25714285714","3.8","3.97142857143"
"7","2.62857142857","3.77142857143","3.77142857143"
"8","2.82857142857","2.48571428571","3.88571428571"
"9","1.02857142857","2.94285714286","2.48571428571"
"10","1.54285714286","4.4","4.05714285714"
"11","2.11428571429","3.37142857143","3.08571428571"
"12","4.6","2.85714285714","2.97142857143"
"13","4.88571428571","2.42857142857","4.51428571429"
"14","3.91428571429","3.88571428571","4.94285714286"
"15","2.31428571429","4.97142857143","4.97142857143"
"16","4.17142857143","2.57142857143","3.6"
"17","3.71428571429","3.08571428571","4.11428571429"
"18","3.91428571429","4.31428571429","3.51428571429"
"19","4.0","2.65714285714","3.74285714286"
"20","3.57142857143","2.65714285714","3.82857142857"
"21","1.82857142857","4.51428571429","3.4"
"22","3.0","3.08571428571","4.77142857143"
"23","4.45714285714","1.65714285714","4.37142857143"
"24","1.77142857143","2.85714285714","3.48571428571"
"25","2.91428571429","3.11428571429","4.74285714286"
"26","2.54285714286","2.88571428571","4.45714285714"
"27","3.45714285714","3.65714285714","4.4"
"28","5.0","2.77777777778","6.03174603175"
